"part","design","scenario","k","N","fail_glmmTMB","power_glmmTMB","rho","N_eff","flag_fail","flag_small","unreliable"
"Part 3: power (unequal cost)","c_N = 0","Strong-U (rho=0.833)",5,200,0,0.888,0.833333333333333,231,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 3","J-shape (rho=0.048)",5,125,0.127,0.995418098510882,0.0476190476190476,525,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 3","Unimodal (rho=0.024)",5,125,0.266,0.997275204359673,0.024390243902439,569,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 3","Mild-U (rho=0.500)",5,125,0.001,0.837837837837838,0.5,208,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 3","Strong-U (rho=0.833)",5,125,0.001,0.727727727727728,0.833333333333333,144,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 5","J-shape (rho=0.048)",5,100,0.179,0.986601705237515,0.0476190476190476,420,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 5","Unimodal (rho=0.024)",5,100,0.268,0.990437158469945,0.024390243902439,456,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 5","Mild-U (rho=0.500)",5,100,0,0.776,0.5,167,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 5","Strong-U (rho=0.833)",5,100,0.004,0.602409638554217,0.833333333333333,115,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 10","J-shape (rho=0.048)",5,66,0.221,0.902439024390244,0.0476190476190476,277,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 10","Unimodal (rho=0.024)",5,66,0.358,0.929906542056075,0.024390243902439,301,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 10","Mild-U (rho=0.500)",5,66,0.009,0.588294651866801,0.5,110,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 10","Strong-U (rho=0.833)",5,66,0.024,0.407786885245902,0.833333333333333,76,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 20","J-shape (rho=0.048)",5,40,0.32,0.639705882352941,0.0476190476190476,168,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 20","Unimodal (rho=0.024)",5,40,0.472,0.679924242424242,0.024390243902439,182,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 20","Mild-U (rho=0.500)",5,40,0.07,0.37741935483871,0.5,67,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 20","Strong-U (rho=0.833)",5,40,0.106,0.146532438478747,0.833333333333333,46,TRUE,TRUE,TRUE
"Part 3: power (unequal cost)","c_N = 0","J-shape (rho=0.048)",10,100,0.015,0.998984771573604,0.0476190476190476,700,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 0","Unimodal (rho=0.024)",10,100,0.112,1,0.024390243902439,820,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 0","Mild-U (rho=0.500)",10,100,0,0.824,0.5,182,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 0","Strong-U (rho=0.833)",10,100,0.001,0.610610610610611,0.833333333333333,118,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 3","J-shape (rho=0.048)",10,76,0.044,0.99581589958159,0.0476190476190476,532,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 3","Unimodal (rho=0.024)",10,76,0.148,1,0.024390243902439,623,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 3","Mild-U (rho=0.500)",10,76,0,0.682,0.5,138,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 3","Strong-U (rho=0.833)",10,76,0.004,0.511044176706827,0.833333333333333,89,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 5","J-shape (rho=0.048)",10,66,0.066,0.991434689507495,0.0476190476190476,462,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 5","Unimodal (rho=0.024)",10,66,0.165,0.994011976047904,0.024390243902439,541,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 5","Mild-U (rho=0.500)",10,66,0.002,0.64128256513026,0.5,120,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 5","Strong-U (rho=0.833)",10,66,0.015,0.456852791878173,0.833333333333333,78,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 10","J-shape (rho=0.048)",10,50,0.075,0.962162162162162,0.0476190476190476,350,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 10","Unimodal (rho=0.024)",10,50,0.215,0.974522292993631,0.024390243902439,410,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 10","Mild-U (rho=0.500)",10,50,0.015,0.504568527918782,0.5,91,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 10","Strong-U (rho=0.833)",10,50,0.02,0.333673469387755,0.833333333333333,59,FALSE,TRUE,TRUE
"Part 3: power (unequal cost)","c_N = 20","J-shape (rho=0.048)",10,33,0.157,0.826809015421115,0.0476190476190476,231,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 20","Unimodal (rho=0.024)",10,33,0.299,0.887303851640514,0.024390243902439,271,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 20","Mild-U (rho=0.500)",10,33,0.044,0.395397489539749,0.5,60,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 20","Strong-U (rho=0.833)",10,33,0.118,0.204081632653061,0.833333333333333,39,TRUE,TRUE,TRUE
"Part 3: power (unequal cost)","c_N = 0","J-shape (rho=0.048)",20,50,0.013,0.991894630192503,0.0476190476190476,525,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 0","Unimodal (rho=0.024)",20,50,0.049,0.998948475289169,0.024390243902439,683,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 0","Mild-U (rho=0.500)",20,50,0.003,0.559679037111334,0.5,95,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 0","Strong-U (rho=0.833)",20,50,0.02,0.336734693877551,0.833333333333333,59,FALSE,TRUE,TRUE
"Part 3: power (unequal cost)","c_N = 3","J-shape (rho=0.048)",20,43,0.013,0.983789260385005,0.0476190476190476,452,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 3","Unimodal (rho=0.024)",20,43,0.091,0.996699669966997,0.024390243902439,588,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 3","Mild-U (rho=0.500)",20,43,0.003,0.542627883650953,0.5,82,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 3","Strong-U (rho=0.833)",20,43,0.058,0.253715498938429,0.833333333333333,51,FALSE,TRUE,TRUE
"Part 3: power (unequal cost)","c_N = 5","J-shape (rho=0.048)",20,40,0.018,0.974541751527495,0.0476190476190476,420,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 5","Unimodal (rho=0.024)",20,40,0.087,0.992332968236583,0.024390243902439,547,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 5","Mild-U (rho=0.500)",20,40,0.003,0.494483450351053,0.5,76,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 5","Strong-U (rho=0.833)",20,40,0.056,0.254237288135593,0.833333333333333,48,FALSE,TRUE,TRUE
"Part 3: power (unequal cost)","c_N = 10","J-shape (rho=0.048)",20,33,0.029,0.961894953656025,0.0476190476190476,346,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 10","Unimodal (rho=0.024)",20,33,0.128,0.987385321100917,0.024390243902439,451,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 10","Mild-U (rho=0.500)",20,33,0.008,0.438508064516129,0.5,63,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 10","Strong-U (rho=0.833)",20,33,0.078,0.223427331887202,0.833333333333333,39,FALSE,TRUE,TRUE
"Part 3: power (unequal cost)","c_N = 20","J-shape (rho=0.048)",20,25,0.057,0.907741251325557,0.0476190476190476,262,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 20","Unimodal (rho=0.024)",20,25,0.18,0.939024390243902,0.024390243902439,342,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 20","Mild-U (rho=0.500)",20,25,0.039,0.344432882414152,0.5,48,FALSE,TRUE,TRUE
"Part 3: power (unequal cost)","c_N = 20","Strong-U (rho=0.833)",20,25,0.165,0.182035928143713,0.833333333333333,30,TRUE,TRUE,TRUE
