"part","design","scenario","k","N","fail_glmmTMB","power_glmmTMB","rho","N_eff","flag_fail","flag_small","unreliable"
"Part 1: power (equal cost)","C = 400","J-shape (rho=0.048)",10,40,0.142,0.911421911421911,0.0476190476190476,280,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 400","Unimodal (rho=0.024)",10,40,0.271,0.945130315500686,0.024390243902439,328,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 400","Mild-U (rho=0.500)",10,40,0.02,0.471428571428571,0.5,73,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 400","Strong-U (rho=0.833)",10,40,0.082,0.196078431372549,0.833333333333333,47,FALSE,TRUE,TRUE
"Part 1: power (equal cost)","C = 200","J-shape (rho=0.048)",20,10,0.259,0.462887989203779,0.0476190476190476,105,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 200","Unimodal (rho=0.024)",20,10,0.376,0.540064102564103,0.024390243902439,137,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 200","Mild-U (rho=0.500)",20,10,0.275,0.155862068965517,0.5,19,TRUE,TRUE,TRUE
"Part 1: power (equal cost)","C = 200","Strong-U (rho=0.833)",20,10,0.481,0.0578034682080925,0.833333333333333,12,TRUE,TRUE,TRUE
"Part 1: power (equal cost)","C = 300","J-shape (rho=0.048)",20,15,0.164,0.690191387559809,0.0476190476190476,158,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 300","Unimodal (rho=0.024)",20,15,0.318,0.756598240469208,0.024390243902439,205,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 300","Mild-U (rho=0.500)",20,15,0.165,0.270658682634731,0.5,29,TRUE,TRUE,TRUE
"Part 1: power (equal cost)","C = 300","Strong-U (rho=0.833)",20,15,0.338,0.0966767371601208,0.833333333333333,18,TRUE,TRUE,TRUE
"Part 1: power (equal cost)","C = 400","J-shape (rho=0.048)",20,20,0.071,0.810548977395048,0.0476190476190476,210,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 400","Unimodal (rho=0.024)",20,20,0.223,0.893178893178893,0.024390243902439,273,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 400","Mild-U (rho=0.500)",20,20,0.066,0.308351177730193,0.5,38,FALSE,TRUE,TRUE
"Part 1: power (equal cost)","C = 400","Strong-U (rho=0.833)",20,20,0.227,0.159120310478655,0.833333333333333,24,TRUE,TRUE,TRUE
"Part 1: power (equal cost)","C = 200","Binomial (rho=0)",1,200,0,0.888,0,200,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 300","Binomial (rho=0)",1,300,0,0.947,0,300,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 400","Binomial (rho=0)",1,400,0,0.989,0,400,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 200","Binomial (rho=0)",3,66,0.65,0.662857142857143,0,198,TRUE,FALSE,TRUE
