"scenario","a","b","C","k","N","dgp","power_glmmTMB","power_naive","fail_glmmTMB"
"Unimodal (rho=0.024)",38,2,300,5,60,"betabinom",0.902402402402402,0.943,0.334
"Mild-U (rho=0.500)",0.95,0.05,300,5,60,"betabinom",0.551688843398158,0.83,0.023
"Strong-U (rho=0.833)",0.19,0.01,300,5,60,"betabinom",0.320696721311475,0.815,0.024
"J-shape (rho=0.048)",19,1,400,5,80,"betabinom",0.95771144278607,0.983,0.196
"Unimodal (rho=0.024)",38,2,400,5,80,"betabinom",0.959821428571429,0.984,0.328
"Mild-U (rho=0.500)",0.95,0.05,400,5,80,"betabinom",0.651651651651652,0.898,0.001
"Strong-U (rho=0.833)",0.19,0.01,400,5,80,"betabinom",0.499496475327291,0.872,0.007
"J-shape (rho=0.048)",19,1,200,10,20,"betabinom",0.602666666666667,0.833,0.25
"Unimodal (rho=0.024)",38,2,200,10,20,"betabinom",0.623778501628665,0.822,0.386
"Mild-U (rho=0.500)",0.95,0.05,200,10,20,"betabinom",0.219209039548023,0.719,0.115
"Strong-U (rho=0.833)",0.19,0.01,200,10,20,"betabinom",0.110807113543092,0.72,0.269
"J-shape (rho=0.048)",19,1,300,10,30,"betabinom",0.800477897252091,0.905,0.163
"Unimodal (rho=0.024)",38,2,300,10,30,"betabinom",0.856729377713459,0.933,0.309
"Mild-U (rho=0.500)",0.95,0.05,300,10,30,"betabinom",0.356020942408377,0.806,0.045
"Strong-U (rho=0.833)",0.19,0.01,300,10,30,"betabinom",0.165898617511521,0.778,0.132
"J-shape (rho=0.048)",19,1,400,10,40,"betabinom",0.911421911421911,0.98,0.142
"Unimodal (rho=0.024)",38,2,400,10,40,"betabinom",0.945130315500686,0.978,0.271
"Mild-U (rho=0.500)",0.95,0.05,400,10,40,"betabinom",0.471428571428571,0.847,0.02
"Strong-U (rho=0.833)",0.19,0.01,400,10,40,"betabinom",0.196078431372549,0.802,0.082
"J-shape (rho=0.048)",19,1,200,20,10,"betabinom",0.462887989203779,0.808,0.259
"Unimodal (rho=0.024)",38,2,200,20,10,"betabinom",0.540064102564103,0.821,0.376
"Mild-U (rho=0.500)",0.95,0.05,200,20,10,"betabinom",0.155862068965517,0.7,0.275
"Strong-U (rho=0.833)",0.19,0.01,200,20,10,"betabinom",0.0578034682080925,0.644,0.481
"J-shape (rho=0.048)",19,1,300,20,15,"betabinom",0.690191387559809,0.887,0.164
"Unimodal (rho=0.024)",38,2,300,20,15,"betabinom",0.756598240469208,0.91,0.318
"Mild-U (rho=0.500)",0.95,0.05,300,20,15,"betabinom",0.270658682634731,0.761,0.165
"Strong-U (rho=0.833)",0.19,0.01,300,20,15,"betabinom",0.0966767371601208,0.756,0.338
"J-shape (rho=0.048)",19,1,400,20,20,"betabinom",0.810548977395048,0.948,0.071
"Unimodal (rho=0.024)",38,2,400,20,20,"betabinom",0.893178893178893,0.977,0.223
"Mild-U (rho=0.500)",0.95,0.05,400,20,20,"betabinom",0.308351177730193,0.768,0.066
"Strong-U (rho=0.833)",0.19,0.01,400,20,20,"betabinom",0.159120310478655,0.76,0.227
"Binomial (rho=0)",19,1,200,1,200,"binomial",0.888,0.888,0
"Binomial (rho=0)",19,1,300,1,300,"binomial",0.947,0.947,0
"Binomial (rho=0)",19,1,400,1,400,"binomial",0.989,0.989,0
"Binomial (rho=0)",19,1,200,3,66,"binomial",0.662857142857143,0.799,0.65
"Binomial (rho=0)",19,1,300,3,100,"binomial",0.918114143920596,0.946,0.597
"Binomial (rho=0)",19,1,400,3,133,"binomial",0.975717439293598,0.992,0.547
"Binomial (rho=0)",19,1,200,5,40,"binomial",0.721549636803874,0.863,0.587
"Binomial (rho=0)",19,1,300,5,60,"binomial",0.9337899543379,0.96,0.562
"Binomial (rho=0)",19,1,400,5,80,"binomial",0.976495726495726,0.985,0.532
"Binomial (rho=0)",19,1,200,10,20,"binomial",0.718421052631579,0.869,0.62
"Binomial (rho=0)",19,1,300,10,30,"binomial",0.929515418502203,0.948,0.546
"Binomial (rho=0)",19,1,400,10,40,"binomial",0.972413793103448,0.985,0.565
"Binomial (rho=0)",19,1,200,20,10,"binomial",0.63719512195122,0.862,0.672
"Binomial (rho=0)",19,1,300,20,15,"binomial",0.846153846153846,0.954,0.649
"Binomial (rho=0)",19,1,400,20,20,"binomial",0.987244897959184,0.994,0.608
