"scenario","a","b","C","k","N","dgp","power_glmmTMB","power_naive","fail_glmmTMB"
"J-shape (rho=0.048)",19,1,200,1,200,"betabinom",0.88,0.88,0
"Unimodal (rho=0.024)",38,2,200,1,200,"betabinom",0.873,0.873,0
"Mild-U (rho=0.500)",0.95,0.05,200,1,200,"betabinom",0.873,0.873,0
"Strong-U (rho=0.833)",0.19,0.01,200,1,200,"betabinom",0.879,0.879,0
"J-shape (rho=0.048)",19,1,300,1,300,"betabinom",0.951,0.951,0
"Unimodal (rho=0.024)",38,2,300,1,300,"betabinom",0.947,0.947,0
"Mild-U (rho=0.500)",0.95,0.05,300,1,300,"betabinom",0.935,0.935,0
"Strong-U (rho=0.833)",0.19,0.01,300,1,300,"betabinom",0.956,0.956,0
"J-shape (rho=0.048)",19,1,400,1,400,"betabinom",0.994,0.994,0
"Unimodal (rho=0.024)",38,2,400,1,400,"betabinom",0.995,0.995,0
"Mild-U (rho=0.500)",0.95,0.05,400,1,400,"betabinom",0.992,0.992,0
"Strong-U (rho=0.833)",0.19,0.01,400,1,400,"betabinom",0.986,0.986,0
"J-shape (rho=0.048)",19,1,200,3,66,"betabinom",0.65391621129326,0.803,0.451
"Unimodal (rho=0.024)",38,2,200,3,66,"betabinom",0.671905697445973,0.789,0.491
"Mild-U (rho=0.500)",0.95,0.05,200,3,66,"betabinom",0.51957671957672,0.756,0.055
"Strong-U (rho=0.833)",0.19,0.01,200,3,66,"betabinom",0.415811088295688,0.723,0.026
"J-shape (rho=0.048)",19,1,300,3,100,"betabinom",0.902290076335878,0.936,0.345
"Unimodal (rho=0.024)",38,2,300,3,100,"betabinom",0.899659863945578,0.944,0.412
"Mild-U (rho=0.500)",0.95,0.05,300,3,100,"betabinom",0.694331983805668,0.894,0.012
"Strong-U (rho=0.833)",0.19,0.01,300,3,100,"betabinom",0.567269076305221,0.856,0.004
"J-shape (rho=0.048)",19,1,400,3,133,"betabinom",0.972099853157122,0.99,0.319
"Unimodal (rho=0.024)",38,2,400,3,133,"betabinom",0.980099502487562,0.992,0.397
"Mild-U (rho=0.500)",0.95,0.05,400,3,133,"betabinom",0.836180904522613,0.954,0.005
"Strong-U (rho=0.833)",0.19,0.01,400,3,133,"betabinom",0.716432865731463,0.926,0.002
"J-shape (rho=0.048)",19,1,200,5,40,"betabinom",0.637380191693291,0.862,0.374
"Unimodal (rho=0.024)",38,2,200,5,40,"betabinom",0.684512428298279,0.867,0.477
"Mild-U (rho=0.500)",0.95,0.05,200,5,40,"betabinom",0.366559485530547,0.749,0.067
"Strong-U (rho=0.833)",0.19,0.01,200,5,40,"betabinom",0.14773980154355,0.707,0.093
"J-shape (rho=0.048)",19,1,300,5,60,"betabinom",0.889178617992177,0.948,0.233
